"date","geography","geography code","Highest level of qualification: Total: All usual residents aged 16 years and over","Highest level of qualification: No qualifications","Highest level of qualification: Level 1 and entry level qualifications","Highest level of qualification: Level 2 qualifications","Highest level of qualification: Apprenticeship","Highest level of qualification: Level 3 qualifications","Highest level of qualification: Level 4 qualifications and above","Highest level of qualification: Other qualifications"
2021,"Hackney 006","E02000350",8131,1347,483,605,200,898,4370,228
2021,"Hackney 007","E02000351",7940,924,377,485,153,821,5044,136
2021,"Hackney 008","E02000352",5263,780,291,491,196,587,2807,111
2021,"Hackney 009","E02000353",6479,717,273,469,123,711,4082,104
2021,"Hackney 010","E02000354",8005,1326,557,681,215,935,4074,217
2021,"Hackney 011","E02000355",6789,948,376,542,124,799,3857,143
2021,"Hackney 012","E02000356",5907,579,235,405,99,575,3910,104
2021,"Hackney 013","E02000357",5384,1150,424,621,179,742,2099,169
2021,"Hackney 014","E02000358",9405,1350,485,623,245,995,5462,245
2021,"Hackney 015","E02000359",5388,812,294,411,133,632,2974,132
2021,"Hackney 016","E02000360",9217,1685,724,894,239,1202,4264,209
2021,"Hackney 017","E02000361",6871,948,374,448,111,765,4041,184
2021,"Hackney 018","E02000362",5815,1011,398,578,159,752,2806,111
2021,"Hackney 019","E02000363",9160,1855,723,915,263,1286,3864,254
2021,"Hackney 020","E02000364",7785,997,379,568,186,884,4619,152
2021,"Hackney 022","E02000366",6856,1255,437,673,165,884,3302,140
2021,"Hackney 023","E02000367",8899,998,403,602,165,1022,5521,188
2021,"Hackney 024","E02000368",8182,1625,569,702,166,991,3922,207
2021,"Hackney 025","E02000369",11252,1666,606,824,251,1207,6406,292
2021,"Hackney 026","E02000370",7455,1195,451,560,186,819,4060,184
2021,"Hammersmith and Fulham 001","E02000372",8511,1524,606,762,280,1089,3931,319
2021,"Hammersmith and Fulham 002","E02000373",5462,1201,482,657,195,774,1948,205
2021,"Hammersmith and Fulham 003","E02000374",5626,825,364,491,135,826,2811,174
2021,"Hammersmith and Fulham 004","E02000375",6301,810,392,506,175,824,3387,207
2021,"Hammersmith and Fulham 005","E02000376",5831,832,352,408,145,722,3198,174
2021,"Hammersmith and Fulham 006","E02000377",6582,910,396,512,202,908,3493,161
2021,"Hammersmith and Fulham 007","E02000378",5581,650,248,372,119,689,3350,153
2021,"Hammersmith and Fulham 008","E02000379",5968,610,252,500,139,680,3591,196
2021,"Hammersmith and Fulham 009","E02000380",4569,490,213,306,90,507,2835,128
2021,"Hammersmith and Fulham 010","E02000381",6312,586,283,459,134,719,4010,121
2021,"Hammersmith and Fulham 011","E02000382",5261,489,220,366,92,633,3323,138
2021,"Hammersmith and Fulham 012","E02000383",7529,808,325,430,167,989,4545,265
2021,"Hammersmith and Fulham 013","E02000384",7135,1017,452,546,155,1001,3774,190
