"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"Greenwich 008","E02000320",235,2,14,28,4,5,52,29,101,0
2021,"Greenwich 009","E02000321",279,1,23,22,7,18,81,44,83,0
2021,"Greenwich 011","E02000323",557,3,43,55,1,49,174,65,167,0
2021,"Greenwich 012","E02000324",289,0,27,43,2,16,73,41,87,0
2021,"Greenwich 014","E02000326",371,0,27,62,0,20,117,52,93,0
2021,"Greenwich 015","E02000327",293,3,31,22,0,18,97,52,70,0
2021,"Greenwich 016","E02000328",420,2,28,125,1,10,100,46,108,0
2021,"Greenwich 017","E02000329",230,1,14,53,1,10,65,26,60,0
2021,"Greenwich 019","E02000331",353,3,22,44,4,39,99,45,97,0
2021,"Greenwich 020","E02000332",371,1,17,90,0,13,120,45,85,0
2021,"Greenwich 021","E02000333",491,1,37,161,3,10,117,55,107,0
2021,"Greenwich 022","E02000334",267,1,26,64,3,13,81,28,51,0
2021,"Greenwich 023","E02000335",232,3,15,65,0,6,67,23,53,0
2021,"Greenwich 025","E02000337",244,1,23,41,1,5,81,30,62,0
2021,"Greenwich 027","E02000339",259,2,18,74,3,8,73,24,57,0
2021,"Greenwich 028","E02000340",282,1,19,72,1,11,65,41,72,0
2021,"Greenwich 029","E02000341",275,0,25,54,2,8,91,27,68,0
2021,"Greenwich 030","E02000342",659,0,14,20,1,386,144,32,62,0
2021,"Greenwich 031","E02000343",259,0,18,41,1,10,64,34,91,0
2021,"Greenwich 032","E02000344",190,1,12,39,0,5,55,21,57,0
2021,"Hackney 001","E02000345",201,0,10,20,5,12,38,36,80,0
2021,"Hackney 002","E02000346",586,0,41,40,1,29,251,77,147,0
2021,"Hackney 003","E02000347",261,0,13,43,3,15,72,50,65,0
2021,"Hackney 004","E02000348",247,0,29,26,5,15,56,29,87,0
2021,"Hackney 006","E02000350",513,0,25,58,0,13,189,88,140,0
2021,"Hackney 007","E02000351",744,0,37,74,0,97,227,131,178,0
2021,"Hackney 008","E02000352",386,0,20,78,1,5,138,63,81,0
2021,"Hackney 009","E02000353",513,1,50,111,3,23,181,56,88,0
2021,"Hackney 010","E02000354",448,0,33,52,0,37,164,60,102,0
2021,"Hackney 011","E02000355",397,0,36,56,1,24,146,47,87,0
2021,"Hackney 012","E02000356",500,2,20,100,0,24,169,64,121,0
2021,"Hackney 013","E02000357",256,0,25,11,2,10,68,41,99,0
2021,"Hackney 014","E02000358",675,0,48,110,1,30,254,97,135,0
2021,"Hackney 015","E02000359",390,0,23,64,1,21,146,64,71,0
2021,"Hackney 016","E02000360",490,1,29,41,1,28,210,73,107,0
2021,"Hackney 017","E02000361",492,0,34,63,1,20,184,78,112,0
2021,"Hackney 018","E02000362",306,0,20,30,2,12,126,42,74,0
2021,"Hackney 019","E02000363",479,0,36,41,2,50,161,63,126,0
2021,"Hackney 020","E02000364",616,0,48,132,3,18,203,81,131,0
2021,"Hackney 022","E02000366",516,0,29,88,7,73,151,73,95,0
2021,"Hackney 023","E02000367",762,1,55,88,1,92,268,101,156,0
2021,"Hackney 024","E02000368",481,0,38,54,0,30,164,72,123,0
2021,"Hackney 025","E02000369",812,0,60,84,2,42,293,145,186,0
2021,"Hackney 026","E02000370",706,0,60,59,2,79,226,90,190,0
2021,"Hammersmith and Fulham 001","E02000372",885,1,48,95,1,192,244,87,217,0
2021,"Hammersmith and Fulham 002","E02000373",324,1,27,32,2,46,84,34,98,0
2021,"Hammersmith and Fulham 003","E02000374",623,0,24,88,4,165,180,44,118,0
2021,"Hammersmith and Fulham 004","E02000375",677,1,37,131,1,89,203,68,147,0
2021,"Hammersmith and Fulham 005","E02000376",523,4,41,84,1,53,182,53,105,0
2021,"Hammersmith and Fulham 006","E02000377",728,0,34,122,0,174,216,61,121,0
2021,"Hammersmith and Fulham 007","E02000378",722,0,38,173,0,76,196,74,165,0
2021,"Hammersmith and Fulham 008","E02000379",634,1,55,161,2,52,149,61,153,0
2021,"Hammersmith and Fulham 009","E02000380",586,2,45,156,2,52,163,56,110,0
2021,"Hammersmith and Fulham 010","E02000381",1024,1,57,338,1,58,243,81,245,0
2021,"Hammersmith and Fulham 011","E02000382",784,3,39,228,1,120,189,70,134,0
